image_id,text,word_length,image_mean,img_width,img_height,occur
a01-000u-00-00,A,1,135.18954248366012,27,51,166
a01-000u-00-02,to,2,181.8942857142857,70,50,2647
a01-000u-00-06,from,4,207.3293192035967,173,72,384
a01-000u-01-01,any,3,209.6036338586068,147,79,105
a01-000u-01-02,more,4,185.9478021978022,208,42,207
a01-000u-02-00,is,2,207.00373626373627,65,70,978
a01-000u-02-01,to,2,182.9292695473251,72,54,2647
a01-000u-02-02,be,2,191.98412698412704,113,63,723
a01-000u-02-03,made,4,196.6640878848832,281,46,121
a01-000u-02-04,at,2,184.70233050847457,80,59,560
a01-000u-02-05,a,1,171.02633928571427,64,35,2260
a01-000u-02-07,of,2,191.6054351054351,91,74,3190
a01-000u-03-06,has,3,206.379287771668,134,57,333
a01-000u-04-02,a,1,154.50059453032102,58,29,2260
a01-000u-04-04,on,2,173.27844551282055,78,32,697
a01-000u-04-05,the,3,213.57161087660745,167,61,5825
a01-000u-05-00,and,3,198.17706806282726,191,50,2473
a01-000u-05-01,he,2,193.00539682539682,126,50,885
a01-000u-05-02,is,2,210.39879227053137,60,69,978
a01-000u-05-03,to,2,176.0382968002016,81,49,2647
a01-000u-05-04,be,2,195.58964036500268,138,54,723
a01-000u-05-06,by,2,196.87542087542087,99,69,487
a01-000u-06-03,for,3,214.8195931921959,165,73,839
a01-000x-00-00,A,1,198.68571428571425,35,67,166
a01-000x-00-02,to,2,213.00649350649346,44,70,2647
a01-000x-00-06,from,4,222.96508985746743,103,141,384
a01-000x-01-00,any,3,224.9609603747804,94,109,105
a01-000x-01-01,more,4,199.7377232142857,112,40,207
a01-000x-01-05,is,2,223.2425925925926,30,72,978
a01-000x-01-06,to,2,208.34826388888888,40,72,2647
a01-000x-01-07,be,2,211.45307189542484,51,75,723
a01-000x-01-08,made,4,220.5184415584416,125,77,121
a01-000x-01-09,at,2,219.20987654320987,45,72,560
a01-000x-01-10,a,1,199.32077205882354,32,34,2260
a01-000x-02-01,of,2,218.07790316709136,41,134,3190
a01-000x-03-01,has,3,212.97084942084942,70,74,333
a01-000x-03-04,a,1,192.9206081081081,32,37,2260
a01-000x-03-06,on,2,191.26363636363635,55,34,697
a01-000x-03-07,the,3,211.36120401337791,69,78,5825
a01-000x-04-00,and,3,205.76452974002999,93,79,2473
a01-000x-04-01,he,2,206.7087610408212,59,71,885
a01-000x-04-02,is,2,231.89755713159968,47,81,978
a01-000x-04-03,to,2,194.50879901204075,41,79,2647
a01-000x-04-04,be,2,193.07464788732395,50,71,723
a01-000x-04-06,by,2,206.9929939792009,63,145,487
a01-000x-05-01,for,3,212.66600117439808,65,131,839
a01-003-00-01,they,4,218.2341488277268,109,90,269
a01-003-00-02,may,3,218.84870641169854,127,56,162
a01-003-00-04,some,4,184.9118394308943,164,24,140
a01-003-00-08,a,1,161.3057644110276,42,19,2260
a01-003-01-02,of,2,238.00942460317447,105,96,3190
a01-003-01-05,are,3,186.60502754820942,132,22,382
a01-003-01-07,to,2,204.49399656946827,66,53,2647
a01-003-02-02,the,3,211.7352989352989,111,55,5825
a01-003-03-02,will,4,224.85217295873574,134,68,270
a01-003-03-03,be,2,212.27023809523808,84,50,723
a01-003-03-04,that,4,205.4730117028899,158,53,1127
