image_id,text,word_length,image_mean,img_width,img_height,occur,top_100
a01-000u-00-00,A,1,135.18954248366012,27,51,166,True
a01-000u-00-02,to,2,181.8942857142857,70,50,2647,True
a01-000u-00-06,from,4,207.3293192035967,173,72,384,True
a01-000u-01-01,any,3,209.6036338586068,147,79,105,True
a01-000u-01-02,more,4,185.9478021978022,208,42,207,True
a01-000u-02-00,is,2,207.00373626373627,65,70,978,True
a01-000u-02-01,to,2,182.9292695473251,72,54,2647,True
a01-000u-02-02,be,2,191.98412698412704,113,63,723,True
a01-000u-02-03,made,4,196.6640878848832,281,46,121,True
a01-000u-02-04,at,2,184.70233050847455,80,59,560,True
a01-000u-02-05,a,1,171.02633928571427,64,35,2260,True
a01-000u-02-07,of,2,191.6054351054351,91,74,3190,True
a01-000u-03-06,has,3,206.379287771668,134,57,333,True
a01-000u-04-02,a,1,154.50059453032102,58,29,2260,True
a01-000u-04-04,on,2,173.27844551282055,78,32,697,True
a01-000u-04-05,the,3,213.57161087660745,167,61,5825,True
a01-000u-05-00,and,3,198.1770680628273,191,50,2473,True
a01-000u-05-01,he,2,193.0053968253968,126,50,885,True
a01-000u-05-02,is,2,210.39879227053137,60,69,978,True
a01-000u-05-03,to,2,176.0382968002016,81,49,2647,True
a01-000u-05-04,be,2,195.58964036500268,138,54,723,True
a01-000u-05-06,by,2,196.87542087542087,99,69,487,True
a01-000u-06-03,for,3,214.8195931921959,165,73,839,True
a01-000x-00-00,A,1,198.68571428571423,35,67,166,True
a01-000x-00-02,to,2,213.00649350649343,44,70,2647,True
a01-000x-00-06,from,4,222.96508985746743,103,141,384,True
a01-000x-01-00,any,3,224.9609603747804,94,109,105,True
a01-000x-01-01,more,4,199.7377232142857,112,40,207,True
a01-000x-01-05,is,2,223.2425925925926,30,72,978,True
a01-000x-01-06,to,2,208.34826388888888,40,72,2647,True
a01-000x-01-07,be,2,211.45307189542484,51,75,723,True
a01-000x-01-08,made,4,220.5184415584416,125,77,121,True
a01-000x-01-09,at,2,219.20987654320987,45,72,560,True
a01-000x-01-10,a,1,199.32077205882356,32,34,2260,True
a01-000x-02-01,of,2,218.07790316709136,41,134,3190,True
a01-000x-03-01,has,3,212.97084942084945,70,74,333,True
